LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
39461-9,Bilirubin,SCnc,Pt,"Periton fld",Qn,,CHEM,2.70,ACTIVE,1,Both,,umol/L,"Bilirubin.total [Moles/volume] in Peritoneal fluid",umol/L,2.15,false,"Bilirubin:SCnc:Pt:Periton fld:Qn:"
41016-7,Bilirubin,SCnc,Pt,Urine,SemiQn,"Test strip",UA,2.75,ACTIVE,1,Both,,umol/L,"Bilirubin.total [Moles/volume] in Urine by Test strip",umol/L,2.15,false,"Bilirubin:SCnc:Pt:Urine:SemiQn:Test strip"
32303-0,Bilirubin,SCnc,Pt,XXX,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Bilirubin.total [Moles/volume] in Specimen",mmol/L,2.07,false,Bilirubin:SCnc:Pt:XXX:Qn:
25146-2,"Bilirubin crystals",Naric,Pt,"Urine sed",Qn,Microscopy.light.HPF,UA,2.70,ACTIVE,1,Observation,,/HPF,"Bilirubin crystals [#/area] in Urine sediment by Microscopy high power field",/[HPF],2.00,false,"Bilirubin crystals:Naric:Pt:Urine sed:Qn:Microscopy.light.HPF"
38442-0,"Bilirubin crystals",Naric,Pt,"Urine sed",Qn,Microscopy.light.LPF,UA,2.70,ACTIVE,1,Observation,,/lpf,"Bilirubin crystals [#/area] in Urine sediment by Microscopy low power field",/[LPF],2.14,false,"Bilirubin crystals:Naric:Pt:Urine sed:Qn:Microscopy.light.LPF"
5771-1,"Bilirubin crystals",PrThr,Pt,"Urine sed",Ord,Microscopy.light,UA,2.73,ACTIVE,1,Observation,,,"Bilirubin crystals [Presence] in Urine sediment by Light microscopy",,1.0,false,"Bilirubin crystals:PrThr:Pt:Urine sed:Ord:Microscopy.light"
47225-8,Bilirubin,Imp,Pt,"Amnio fld",Nom,,CHEM,2.50,ACTIVE,1,Observation,,,"Bilirubin.total [Interpretation] in Amniotic fluid",,2.19,false,"Bilirubin:Imp:Pt:Amnio fld:Nom:"
48624-1,Bilirubin,MCnc,Pt,BldCo,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Bilirubin.total [Mass/volume] in Cord blood",mg/dL,2.21,false,Bilirubin:MCnc:Pt:BldCo:Qn:
1973-7,Bilirubin,MCnc,Pt,CSF,Qn,,CHEM,2.38,ACTIVE,1,Both,,mg/dL,"Bilirubin.total [Mass/volume] in Cerebral spinal fluid",mg/dL,1.0,false,Bilirubin:MCnc:Pt:CSF:Qn:
13877-6,Bilirubin,PrThr,Pt,"Amnio fld",Ord,,CHEM,2.56,ACTIVE,1,Both,,,"Bilirubin.total [Presence] in Amniotic fluid",,1.0k,false,"Bilirubin:PrThr:Pt:Amnio fld:Ord:"
43824-2,Bilirubin,PrThr,Pt,"Body fld",Ord,,CHEM,2.73,ACTIVE,1,Both,,,"Bilirubin.total [Presence] in Body fluid",,2.17,false,"Bilirubin:PrThr:Pt:Body fld:Ord:"
53415-6,Bilirubin,PrThr,Pt,CSF,Ord,,CHEM,2.56,ACTIVE,1,Both,,,"Bilirubin.total [Presence] in Cerebral spinal fluid",,2.26,false,Bilirubin:PrThr:Pt:CSF:Ord:
29767-1,Bilirubin,SCnc,Pt,"Body fld",Qn,,CHEM,2.73,ACTIVE,1,Both,,umol/L;mmol/L,"Bilirubin.total [Moles/volume] in Body fluid",mmol/L,2.03,false,"Bilirubin:SCnc:Pt:Body fld:Qn:"
74906-9,Bilirubin,SCnc,Pt,CSF,Qn,,CHEM,2.48,ACTIVE,1,Both,,umol/L,"Bilirubin.total [Moles/volume] in Cerebral spinal fluid",umol/L,2.48,false,Bilirubin:SCnc:Pt:CSF:Qn:
14631-6,Bilirubin,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,umol/L,"Bilirubin.total [Moles/volume] in Serum or Plasma",umol/L,1.0k,false,Bilirubin:SCnc:Pt:Ser/Plas:Qn:
59166-9,Bilirubin,SRat,24H,Stool,Qn,,CHEM,2.70,ACTIVE,1,Both,,mmol/d,"Bilirubin.total [Moles/time] in 24 hour Stool",mmol/(24.h),2.32,false,Bilirubin:SRat:24H:Stool:Qn:
1972-9,Bilirubin,MCnc,Pt,"Amnio fld",Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Bilirubin.total [Mass/volume] in Amniotic fluid",mg/dL,1.0,false,"Bilirubin:MCnc:Pt:Amnio fld:Qn:"
1974-5,Bilirubin,MCnc,Pt,"Body fld",Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Bilirubin.total [Mass/volume] in Body fluid",mg/dL,1.0,false,"Bilirubin:MCnc:Pt:Body fld:Qn:"
1975-2,Bilirubin,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Bilirubin.total [Mass/volume] in Serum or Plasma",mg/dL,1.0,false,Bilirubin:MCnc:Pt:Ser/Plas:Qn:
14423-8,Bilirubin,MCnc,Pt,"Synv fld",Qn,,CHEM,2.38,ACTIVE,1,Both,,mg/dL,"Bilirubin.total [Mass/volume] in Synovial fluid",mg/dL,1.0k,false,"Bilirubin:MCnc:Pt:Synv fld:Qn:"
53327-3,Bilirubin,MCnc,Pt,Urine,SemiQn,"Test strip.automated",UA,2.75,ACTIVE,1,Observation,,mg/dL,"Bilirubin.total [Mass/volume] in Urine by Automated test strip",mg/dL,2.24,false,"Bilirubin:MCnc:Pt:Urine:SemiQn:Test strip.automated"
35193-2,Bilirubin,MSCnc,Pt,"Body fld",Qn,,CHEM,2.42,DISCOURAGED,1,Both,,,"Bilirubin.total [Mass or Moles/volume] in Body fluid",,2.11,false,"Bilirubin:MSCnc:Pt:Body fld:Qn:"
35194-0,Bilirubin,MSCnc,Pt,Ser/Plas,Qn,,CHEM,2.42,DISCOURAGED,1,Both,,,"Bilirubin.total [Mass or Moles/volume] in Serum or Plasma",,2.11,false,Bilirubin:MSCnc:Pt:Ser/Plas:Qn:
44033-9,Bilirubin,PrThr,24H,Urine,Ord,"Test strip",UA,2.73,ACTIVE,1,Both,,,"Bilirubin.total [Presence] in 24 hour Urine by Test strip",,2.17,false,"Bilirubin:PrThr:24H:Urine:Ord:Test strip"
72925-1,Bilirubin,SCnc,Pt,"Amnio fld",Qn,,CHEM,2.44,ACTIVE,1,Both,,umol/L,"Bilirubin.total [Moles/volume] in Amniotic fluid",umol/L,2.44,false,"Bilirubin:SCnc:Pt:Amnio fld:Qn:"
97770-2,Bilirubin,SCnc,Pt,BldC,Qn,,CHEM,2.70,ACTIVE,1,Both,,umol/L,"Bilirubin.total [Moles/volume] in Capillary blood",umol/L,2.70,false,Bilirubin:SCnc:Pt:BldC:Qn:
68367-2,Bilirubin,SCnc,Pt,Urine,SemiQn,"Test strip.automated",UA,2.75,ACTIVE,1,Observation,,umol/L,"Bilirubin.total [Moles/volume] in Urine by Automated test strip",umol/L,2.38,false,"Bilirubin:SCnc:Pt:Urine:SemiQn:Test strip.automated"
50551-1,Bilirubin,PrThr,Pt,Urine,Ord,"Test strip.automated",UA,2.73,ACTIVE,1,Observation,,,"Bilirubin.total [Presence] in Urine by Automated test strip",,2.22,false,"Bilirubin:PrThr:Pt:Urine:Ord:Test strip.automated"
43428-2,"Bilirubin.microscopic observation",Prid,Pt,Tiss,Nom,"Hall's stain",PATH,2.22,ACTIVE,1,Both,,,"Bilirubin.microscopic observation [Identifier] in Tissue by Hall's stain",,2.17,false,"Bilirubin.microscopic observation:Prid:Pt:Tiss:Nom:Hall's stain"
27198-1,Bilirubin,ACnc,Pt,"Amnio fld",Qn,"Direct spectrophotometry",CHEM,2.73,ACTIVE,1,Both,,,"Bilirubin.total [Units/volume] in Amniotic fluid by Spectrophotometry direct",[arb'U]/mL,2.00,false,"Bilirubin:ACnc:Pt:Amnio fld:Qn:Direct spectrophotometry"
43887-9,Bilirubin,PrThr,Pt,"Amnio fld",Ord,"Direct spectrophotometry",CHEM,2.56,ACTIVE,1,Both,,,"Bilirubin.total [Presence] in Amniotic fluid by Spectrophotometry direct",,2.17,false,"Bilirubin:PrThr:Pt:Amnio fld:Ord:Direct spectrophotometry"
12476-8,Bilirubin,MCnc,Pt,"Amnio fld",Qn,"Direct spectrophotometry",CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Bilirubin.total [Mass/volume] in Amniotic fluid by Spectrophotometry direct",mg/dL,1.0j-a,false,"Bilirubin:MCnc:Pt:Amnio fld:Qn:Direct spectrophotometry"
77137-8,Bilirubin,SCnc,Pt,Ser/Plas/Bld,Qn,,CHEM,2.68,ACTIVE,1,Both,,umol/L,"Bilirubin.total [Moles/volume] in Serum, Plasma or Blood",umol/L,2.52,false,Bilirubin:SCnc:Pt:Ser/Plas/Bld:Qn:
1969-5,"Bilirubin renal clearance",VRat,24H,Urine+Ser/Plas,Qn,,CHEM,2.66,ACTIVE,1,Both,,mL/min,"Bilirubin.total renal clearance in 24 hour Urine and Serum or Plasma",mL/min,1.0,false,"Bilirubin renal clearance:VRat:24H:Urine+Ser/Plas:Qn:"
74434-2,Bilirubin/Total,MFr,Pt,Calculus,Qn,"Infrared spectroscopy",CHEM,2.46,ACTIVE,1,Both,,%,"Bilirubin.total/Total in Stone by Infrared spectroscopy",%,2.46,false,"Bilirubin/Total:MFr:Pt:Calculus:Qn:Infrared spectroscopy"
72264-5,"Bilirubin excess & oxyhemoglobin & methemoglobin & xanthochromia & albumin quotient panel",-,Pt,Ser+CSF,-,,PANEL.CHEM,2.42,ACTIVE,1,Order,,,"Bilirubin excess and oxyhemoglobin and methemoglobin and xanthochromia and albumin quotient panel - Serum and CSF",,2.42,true,"Bilirubin excess & oxyhemoglobin & methemoglobin & xanthochromia & albumin quotient panel:-:Pt:Ser+CSF:-:"
1970-3,"Bilirubin.albumin bound",MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Bilirubin.delta [Mass/volume] in Serum or Plasma",mg/dL,1.0,false,"Bilirubin.albumin bound:MCnc:Pt:Ser/Plas:Qn:"
22665-4,"Bilirubin.albumin bound",SCnc,Pt,Ser/Plas,Qn,,CHEM,2.70,ACTIVE,1,Both,,umol/L,"Bilirubin.delta [Moles/volume] in Serum or Plasma",umol/L,1.0n,false,"Bilirubin.albumin bound:SCnc:Pt:Ser/Plas:Qn:"
50041-3,Bilirubin+Urobilinogen,PrThr,Pt,Urine,Ord,,UA,2.56,ACTIVE,1,Observation,,,"Bilirubin+Urobilinogen [Presence] in Urine",,2.22,false,Bilirubin+Urobilinogen:PrThr:Pt:Urine:Ord:
