LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
49236-3,"Patient symptoms^2.5H post dose lactose PO",Imp,Pt,^Patient,Nar,,CHAL,2.38,ACTIVE,1,Observation,,,"Patient symptoms [Interpretation] Narrative--2.5 hours post dose lactose PO",,2.21,false,"Patient symptoms^2.5H post dose lactose PO:Imp:Pt:^Patient:Nar:"
33488-8,"Patient symptoms^2.5H post dose lactose PO",Imp,Pt,^Patient,Nom,,CHAL,2.12,ACTIVE,1,Observation,,,"Patient symptoms [Interpretation] --2.5 hours post dose lactose PO",,2.09,false,"Patient symptoms^2.5H post dose lactose PO:Imp:Pt:^Patient:Nom:"
33487-0,"Patient symptoms^2H post dose lactose PO",Imp,Pt,^Patient,Nom,,CHAL,2.12,ACTIVE,1,Observation,,,"Patient symptoms [Interpretation] --2 hours post dose lactose PO",,2.09,false,"Patient symptoms^2H post dose lactose PO:Imp:Pt:^Patient:Nom:"
49238-9,"Patient symptoms^30M post dose lactose PO",Imp,Pt,^Patient,Nar,,CHAL,2.38,ACTIVE,1,Observation,,,"Patient symptoms [Interpretation] Narrative--30 minutes post dose lactose PO",,2.21,false,"Patient symptoms^30M post dose lactose PO:Imp:Pt:^Patient:Nar:"
49239-7,"Patient symptoms^3H post dose lactose PO",Imp,Pt,^Patient,Nar,,CHAL,2.38,ACTIVE,1,Observation,,,"Patient symptoms [Interpretation] Narrative--3 hours post dose lactose PO",,2.21,false,"Patient symptoms^3H post dose lactose PO:Imp:Pt:^Patient:Nar:"
42615-5,"Glucose^30M post dose lactose PO",MCnc,Pt,Urine,Qn,,CHAL,2.73,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Urine --30 minutes post dose lactose PO",mg/dL,2.16,false,"Glucose^30M post dose lactose PO:MCnc:Pt:Urine:Qn:"
42604-9,"Glucose^3H post dose lactose PO",MCnc,Pt,Urine,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Urine --3 hours post dose lactose PO",mg/dL,2.16,false,"Glucose^3H post dose lactose PO:MCnc:Pt:Urine:Qn:"
42629-6,"Glucose^4H post dose lactose PO",MCnc,Pt,Urine,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Urine --4 hours post dose lactose PO",mg/dL,2.16,false,"Glucose^4H post dose lactose PO:MCnc:Pt:Urine:Qn:"
42631-2,"Glucose^5H post dose lactose PO",MCnc,Pt,Urine,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Urine --5 hours post dose lactose PO",mg/dL,2.16,false,"Glucose^5H post dose lactose PO:MCnc:Pt:Urine:Qn:"
42609-8,"Glucose^6H post dose lactose PO",MCnc,Pt,Urine,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Urine --6 hours post dose lactose PO",mg/dL,2.16,false,"Glucose^6H post dose lactose PO:MCnc:Pt:Urine:Qn:"
12638-3,"Glucose^pre dose lactose PO",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Serum or Plasma --pre dose lactose PO",mg/dL,1.0j-a,false,"Glucose^pre dose lactose PO:MCnc:Pt:Ser/Plas:Qn:"
59157-8,"Glucose^pre dose lactose PO",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mmol/L,"Glucose [Moles/volume] in Serum or Plasma --pre dose lactose PO",mmol/L,2.32,false,"Glucose^pre dose lactose PO:SCnc:Pt:Ser/Plas:Qn:"
33490-4,"Hydrogen/Expired gas^pre dose lactose PO",VFr,Pt,"Exhl gas",Qn,,CHAL,2.70,ACTIVE,1,Observation,,ppm,"Hydrogen/Expired gas [Volume Fraction] in Exhaled gas --pre dose lactose PO",[ppm],2.09,false,"Hydrogen/Expired gas^pre dose lactose PO:VFr:Pt:Exhl gas:Qn:"
33504-2,"Hydrogen+Methane/Expired gas^pre dose lactose PO",VFr,Pt,"Exhl gas",Qn,,CHAL,2.70,ACTIVE,1,Observation,,ppm,"Hydrogen+Methane/Expired gas [Volume Fraction] in Exhaled gas --pre dose lactose PO",[ppm],2.09,false,"Hydrogen+Methane/Expired gas^pre dose lactose PO:VFr:Pt:Exhl gas:Qn:"
33498-7,"Methane/Expired gas^30M post dose lactose PO",VFr,Pt,"Exhl gas",Qn,,CHAL,2.70,ACTIVE,1,Observation,,ppm,"Methane/Expired gas [Volume Fraction] in Exhaled gas --30 minutes post dose lactose PO",[ppm],2.09,false,"Methane/Expired gas^30M post dose lactose PO:VFr:Pt:Exhl gas:Qn:"
33482-1,"Methane/Expired gas^3H post dose lactose PO",VFr,Pt,"Exhl gas",Qn,,CHAL,2.70,ACTIVE,1,Observation,,ppm,"Methane/Expired gas [Volume Fraction] in Exhaled gas --3 hours post dose lactose PO",[ppm],2.09,false,"Methane/Expired gas^3H post dose lactose PO:VFr:Pt:Exhl gas:Qn:"
49235-5,"Patient symptoms^1H post dose lactose PO",Imp,Pt,^Patient,Nar,,CHAL,2.38,ACTIVE,1,Observation,,,"Patient symptoms [Interpretation] Narrative--1 hour post dose lactose PO",,2.21,false,"Patient symptoms^1H post dose lactose PO:Imp:Pt:^Patient:Nar:"
33485-4,"Patient symptoms^1H post dose lactose PO",Imp,Pt,^Patient,Nom,,CHAL,2.12,ACTIVE,1,Observation,,,"Patient symptoms [Interpretation] --1 hour post dose lactose PO",,2.09,false,"Patient symptoms^1H post dose lactose PO:Imp:Pt:^Patient:Nom:"
49237-1,"Patient symptoms^2H post dose lactose PO",Imp,Pt,^Patient,Nar,,CHAL,2.38,ACTIVE,1,Observation,,,"Patient symptoms [Interpretation] Narrative--2 hours post dose lactose PO",,2.21,false,"Patient symptoms^2H post dose lactose PO:Imp:Pt:^Patient:Nar:"
74438-3,Lactose/Creatinine,SRto,Pt,Urine,Qn,,CHEM,2.46,ACTIVE,1,Both,,"mmol/mol creatinine","Lactose/Creatinine [Molar ratio] in Urine",mmol/mol{creat},2.46,false,Lactose/Creatinine:SRto:Pt:Urine:Qn:
12648-2,"Glucose^15M post dose lactose PO",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Serum or Plasma --15 minutes post dose lactose PO",mg/dL,1.0j-a,false,"Glucose^15M post dose lactose PO:MCnc:Pt:Ser/Plas:Qn:"
72896-4,"Glucose^15M post dose lactose PO",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.44,ACTIVE,1,Both,,mmol/L,"Glucose [Moles/volume] in Serum or Plasma --15 minutes post dose lactose PO",mmol/L,2.44,false,"Glucose^15M post dose lactose PO:SCnc:Pt:Ser/Plas:Qn:"
42611-4,"Glucose^1H post dose lactose PO",MCnc,Pt,Urine,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Urine --1 hour post dose lactose PO",mg/dL,2.16,false,"Glucose^1H post dose lactose PO:MCnc:Pt:Urine:Qn:"
72895-6,"Glucose^2.5H post dose lactose PO",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.44,ACTIVE,1,Observation,,mmol/L,"Glucose [Moles/volume] in Serum or Plasma --2.5 hours post dose lactose PO",mmol/L,2.44,false,"Glucose^2.5H post dose lactose PO:SCnc:Pt:Ser/Plas:Qn:"
69941-3,"Glucose^20M post dose lactose PO",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Both,,mmol/L,"Glucose [Moles/volume] in Serum or Plasma --20 minutes post dose lactose PO",mmol/L,2.40,false,"Glucose^20M post dose lactose PO:SCnc:Pt:Ser/Plas:Qn:"
42613-0,"Glucose^2H post dose lactose PO",MCnc,Pt,Urine,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Urine --2 hours post dose lactose PO",mg/dL,2.16,false,"Glucose^2H post dose lactose PO:MCnc:Pt:Urine:Qn:"
39562-4,"Glucose^2nd specimen post dose lactose",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Serum or Plasma --2nd specimen post dose lactose",mg/dL,2.15,false,"Glucose^2nd specimen post dose lactose:MCnc:Pt:Ser/Plas:Qn:"
12650-8,"Glucose^3.5H post dose lactose PO",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Serum or Plasma --3.5 hours post dose lactose PO",mg/dL,1.0j-a,false,"Glucose^3.5H post dose lactose PO:MCnc:Pt:Ser/Plas:Qn:"
26777-3,"Glucose^30M post dose lactose PO",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Serum or Plasma --30 minutes post dose lactose PO",mg/dL,2.00,false,"Glucose^30M post dose lactose PO:MCnc:Pt:Ser/Plas:Qn:"
40276-8,"Glucose^30M post dose lactose PO",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mmol/L,"Glucose [Moles/volume] in Serum or Plasma --30 minutes post dose lactose PO",mmol/L,2.15,false,"Glucose^30M post dose lactose PO:SCnc:Pt:Ser/Plas:Qn:"
26781-5,"Glucose^3H post dose lactose PO",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,ACTIVE,1,Both,,mg/dL,"Glucose [Mass/volume] in Serum or Plasma --3 hours post dose lactose PO",mg/dL,2.00,false,"Glucose^3H post dose lactose PO:MCnc:Pt:Ser/Plas:Qn:"
40280-0,"Glucose^3H post dose lactose PO",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mmol/L,"Glucose [Moles/volume] in Serum or Plasma --3 hours post dose lactose PO",mmol/L,2.15,false,"Glucose^3H post dose lactose PO:SCnc:Pt:Ser/Plas:Qn:"
39563-2,"Glucose^3rd specimen post dose lactose",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Serum or Plasma --3rd specimen post dose lactose",mg/dL,2.15,false,"Glucose^3rd specimen post dose lactose:MCnc:Pt:Ser/Plas:Qn:"
69942-1,"Glucose^40M post dose lactose PO",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Both,,mmol/L,"Glucose [Moles/volume] in Serum or Plasma --40 minutes post dose lactose PO",mmol/L,2.40,false,"Glucose^40M post dose lactose PO:SCnc:Pt:Ser/Plas:Qn:"
32820-3,"Glucose^45M post dose lactose PO",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Serum or Plasma --45 minutes post dose lactose PO",mg/dL,2.09,false,"Glucose^45M post dose lactose PO:MCnc:Pt:Ser/Plas:Qn:"
45299-5,"Glucose^45M post dose lactose PO",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Both,,mmol/L,"Glucose [Moles/volume] in Serum or Plasma --45 minutes post dose lactose PO",mmol/L,2.17,false,"Glucose^45M post dose lactose PO:SCnc:Pt:Ser/Plas:Qn:"
26782-3,"Glucose^4H post dose lactose PO",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Serum or Plasma --4 hours post dose lactose PO",mg/dL,2.00,false,"Glucose^4H post dose lactose PO:MCnc:Pt:Ser/Plas:Qn:"
57971-4,"Glucose^4th specimen post dose lactose",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Serum or Plasma --4th specimen post lactose",mg/dL,2.29,false,"Glucose^4th specimen post dose lactose:MCnc:Pt:Ser/Plas:Qn:"
26783-1,"Glucose^5H post dose lactose PO",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Serum or Plasma --5 hours post dose lactose PO",mg/dL,2.00,false,"Glucose^5H post dose lactose PO:MCnc:Pt:Ser/Plas:Qn:"
57972-2,"Glucose^5th specimen post dose lactose",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Serum or Plasma --5th specimen post lactose",mg/dL,2.29,false,"Glucose^5th specimen post dose lactose:MCnc:Pt:Ser/Plas:Qn:"
12649-0,"Glucose^6th specimen post dose lactose",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Serum or Plasma --6th specimen post dose lactose",mg/dL,1.0j-a,false,"Glucose^6th specimen post dose lactose:MCnc:Pt:Ser/Plas:Qn:"
1551-1,"Glucose^pre 50 g lactose PO",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Serum or Plasma --pre 50 g lactose PO",mg/dL,1.0,false,"Glucose^pre 50 g lactose PO:MCnc:Pt:Ser/Plas:Qn:"
88440-3,"Hydrogen/Expired gas^10M post dose lactose PO",VFr,Pt,"Exhl gas",Qn,,CHAL,2.64,ACTIVE,1,Both,,ppm,"Hydrogen/Expired gas [Volume Fraction] in Exhaled gas --10M post dose lactose PO",[ppm],2.64,false,"Hydrogen/Expired gas^10M post dose lactose PO:VFr:Pt:Exhl gas:Qn:"
48613-4,"Hydrogen/Expired gas^15M post dose lactose PO",VFr,Pt,"Exhl gas",Qn,,CHAL,2.42,ACTIVE,1,Both,,%,"Hydrogen/Expired gas [Volume Fraction] in Exhaled gas --15 minutes post dose lactose PO",%,2.21,false,"Hydrogen/Expired gas^15M post dose lactose PO:VFr:Pt:Exhl gas:Qn:"
33495-3,"Hydrogen/Expired gas^2.5H post dose lactose PO",VFr,Pt,"Exhl gas",Qn,,CHAL,2.70,ACTIVE,1,Observation,,ppm,"Hydrogen/Expired gas [Volume Fraction] in Exhaled gas --2.5 hours post dose lactose PO",[ppm],2.09,false,"Hydrogen/Expired gas^2.5H post dose lactose PO:VFr:Pt:Exhl gas:Qn:"
60232-6,"Hydrogen/Expired gas^2.75H post dose lactose PO",VFr,Pt,"Exhl gas",Qn,,CHAL,2.70,ACTIVE,1,Observation,,ppm,"Hydrogen/Expired gas [Volume Fraction] in Exhaled gas --2.75 hours post dose lactose PO",[ppm],2.34,false,"Hydrogen/Expired gas^2.75H post dose lactose PO:VFr:Pt:Exhl gas:Qn:"
88446-0,"Hydrogen/Expired gas^20M post dose lactose PO",VFr,Pt,"Exhl gas",Qn,,CHAL,2.64,ACTIVE,1,Both,,ppm,"Hydrogen/Expired gas [Volume Fraction] in Exhaled gas --20 minutes post dose lactose PO",[ppm],2.64,false,"Hydrogen/Expired gas^20M post dose lactose PO:VFr:Pt:Exhl gas:Qn:"
33491-2,"Hydrogen/Expired gas^30M post dose lactose PO",VFr,Pt,"Exhl gas",Qn,,CHAL,2.70,ACTIVE,1,Observation,,ppm,"Hydrogen/Expired gas [Volume Fraction] in Exhaled gas --30 minutes post dose lactose PO",[ppm],2.09,false,"Hydrogen/Expired gas^30M post dose lactose PO:VFr:Pt:Exhl gas:Qn:"
33496-1,"Hydrogen/Expired gas^3H post dose lactose PO",VFr,Pt,"Exhl gas",Qn,,CHAL,2.70,ACTIVE,1,Observation,,ppm,"Hydrogen/Expired gas [Volume Fraction] in Exhaled gas --3 hours post dose lactose PO",[ppm],2.09,false,"Hydrogen/Expired gas^3H post dose lactose PO:VFr:Pt:Exhl gas:Qn:"
88442-9,"Hydrogen/Expired gas^40M post dose lactose PO",VFr,Pt,"Exhl gas",Qn,,CHAL,2.64,ACTIVE,1,Both,,ppm,"Hydrogen/Expired gas [Volume Fraction] in Exhaled gas --40 minutes post dose lactose PO",[ppm],2.64,false,"Hydrogen/Expired gas^40M post dose lactose PO:VFr:Pt:Exhl gas:Qn:"
48612-6,"Hydrogen/Expired gas^45M post dose lactose PO",VFr,Pt,"Exhl gas",Qn,,CHAL,2.42,ACTIVE,1,Observation,,%,"Hydrogen/Expired gas [Volume Fraction] in Exhaled gas --45 minutes post dose lactose PO",%,2.21,false,"Hydrogen/Expired gas^45M post dose lactose PO:VFr:Pt:Exhl gas:Qn:"
88445-2,"Hydrogen/Expired gas^50M post dose lactose PO",VFr,Pt,"Exhl gas",Qn,,CHAL,2.64,ACTIVE,1,Both,,ppm,"Hydrogen/Expired gas [Volume Fraction] in Exhaled gas --50M post dose lactose PO",[ppm],2.64,false,"Hydrogen/Expired gas^50M post dose lactose PO:VFr:Pt:Exhl gas:Qn:"
46432-1,"Hydrogen/Expired gas^post 50 g lactose PO",VFr,Pt,"Exhl gas",Qn,,CHAL,2.42,ACTIVE,1,Observation,,%,"Hydrogen/Expired gas [Volume Fraction] in Exhaled gas --post 50 g lactose PO",%,2.19,false,"Hydrogen/Expired gas^post 50 g lactose PO:VFr:Pt:Exhl gas:Qn:"
33501-8,"Hydrogen+Methane/Expired gas^30M post dose lactose PO",VFr,Pt,"Exhl gas",Qn,,CHAL,2.70,ACTIVE,1,Observation,,ppm,"Hydrogen+Methane/Expired gas [Volume Fraction] in Exhaled gas --30 minutes post dose lactose PO",[ppm],2.09,false,"Hydrogen+Methane/Expired gas^30M post dose lactose PO:VFr:Pt:Exhl gas:Qn:"
